Essays,Grammar,Lexical,Global Organization,Local Organization,Supporting Ideas,Holistic
"My view on limitation of the number of children
In the recent years, most of families face a realistic problem whether a family should nourish another child. However, the government make some policies to limit the number of children. Thus, a sharp argument occur.In my opinion, I support the part of government.Here are two my views about it.
For one thing, in our mind,it’s our rights to bring out our offspring that is independent from power. Of course,We should be ourselves and make birth decision by ourselves. That seems proper well. However, if right get away from any limits, it’s will be a disaster making by human. Except right of birth, human will over use other rights if there is no limit when we know we can do everything.So it is important to give a policy to astrict rights. For another thing, if we failed to control number of people due to no limitation of it, the earth would afford thousand of requirements to various resource and get worse until people can’t survive in earth one day. The limited resources must march the proper number of people.What’s more, people can’t occupy earth by ourselves.We are supposed to share the earth with all kinds of species. Not only animals but also botany are the host as us of earth. We have no right to expel them for our huge population.In this way, limiting number of children protect the equal right between all species and us human.
In conclusion, compared with different efforts of huge number population,we will discovery that for further development and sustaining the earth’s balance we should agree with government to limit the number of children.
",4.5,4.5,5.5,5.5,4.5,3
"As the time passing by and the social developing, more and more babies are born but less and less people go die. Therefore, the number of people increases rapidly now in all over the world. The large population start to become a burden on the earth.
   As far as I concerned, we must have a powerful institution to control the tendency and change the situation. For each country, their government should be allowed to limit the number of children a family can have. Just serious policy and puissant right can let everybody listen to. Most country is not developed enough, especially human’s view. I guess half of them can’t realize how dangerous crisis we meet at least. At once, we have no time to wait that they will change their own mind, but only change their behavior is adequate. It’s useful and efficient.
   Of course, some guys may say this way will disobey basic human rights or broke people the idea of choice. The number of children a family can have is their personal thing, they should have the number whatever they want.
  On the one hand, I can’t reject the reason, even I accept it exactly. On the other hand, I still have some words to speak at the same time. How many members in your family is not only your family’s work, it’s also other’s work. The source is limited. The earth only can burden limited population. If we beyond the scope and break the natural rules, it just can be worse and worse until to the end. 
   There are a lot of successful practice in history. The truth often in the hands of a few. Dominators will do their best to govern our country.The rest of people don’t need to have the same long range plan, they can’t have though. Just accept and obey a new design. You may can’t understand it right away. Nevertheless, when you discover its benefit, you will exclaim and smile in great surprise.
   In a word, I agree with the government control.
",4,4.5,5,4,4,3
"Should a government be allowed to limit the number of children a family can have? To be honest, at the time I saw this question,I felt a little shamed for myself.My major is law and I should have thought similar question in my own before.  
Overall, family planning is do the most effective way to solve the large population problem in China. Even though the government limited the number of children, a lot of people still are suffering from starvation and have a low standard of living.If we don't control the birth of each family, the problem of population will worse and worse.There is a severe phenomenon that sharp increasing in population of China, and people tend to get more and more old, but many of us didn't realize it, and still ignore the Family planning, especially rural areas.If we are not take steps to control the population,China can not to become a developed-country for a while. 
But on the other side, everyone has human rights which is the most important thing in the modern society.No matter if we want to give birth to a child and no matter how many children we want, it is our own choices which can't be limited by others.What's more, let me give just take one simple example.If government limit the number of children a family can have, once parents are old, they have only one child who can take care of them.It's a huge burden for both of parents and children.For the only child, he may feel lonely during his childhood because no brother or sister play with him.
In my opinion, family planning is indispensable in China.We can't ignore the huge population.Though human rights is important,I still think we can give up some our own benefit for the better future of our country.
",4,4,5,5,4.5,3
"A government  can be allowed to limit the number of children a family can have.

  China is a country with the largest population of the world,which means it have to contribute more  and manage more on population than other countries.In case that people here cant live a normal life that can eat enough,live happily.

  As we all know,recent years western countries are nearly facing a situation that the population is down.So they have carried out a series of policies to encourage the family to have more baby so that in the future the society will not be lack of labors.

  So when they stand at the highest point of the morality,who gives them the privilege?They claimed for many times that the Family planning of China is a kind of defense to human rights.It seems that the way to prevent more babies coming to this world is a cruel decision.So is it correct that you just let them come out even expect more?  How do you know the babies want to come out?
  
   What is human right?Is it just the right to allow a person to exist?After the birth,who can assure the living feeds and education?Who can give enough attention to their growth?Who can keep track of them and not give up each life in dilemma?
  
    At that time China gave limitation to the number of baby in each family because the economic was not that developed even can be said to be ‘poor’.But their last generation,were getting older.The young not only faced with supporting children but to support the old years later.To make people can live more easy at every time,the government chose this way .Though there were some faults the policy takers made,the policy eased the big pressure of the country and fastened its speed of developing.
",4,4,4,5,5,3
"Limit the number of child In China
The one-child policy, a part of the family planning policy, was a population planning policy of China. Although designated a ""temporary measure,"" it continues a quarter-century after its establishment. The policy limits couples to one child. Our country devoted to limit the number of child. Its history is a long way. During the period of Mao Zedong's leadership in China, Until the 1960s, the government encouraged families to have as many children as possible because of Mao's belief that population growth empowered the country. However, due to the rapid and powerful fertility in China. China has been the biggest population country, and With a population explosion, a series of other problems will emerge. There will be a lack of land, food supply, water, fuel and so on in our country. The population growth was unsustainable and there was a consensus that a birth limitation policy was necessary. The consequence of the problems will threaten human life.
Therefore, we measure the family planning policy to stop the harm. On the other hand, some realized that it not benefit to the human right. The procreation right is the basic right to the human being. It is also the significant point for people to choose one carrying the family on. At the same time, the next generation also have the obligation to service society and take care of olds. One—child policy whether make this right impossible or not. Though, this doubt existed in many people who can’t be accustomed to the new policy. One-child policy also give more chances to those lower living standard.
To me, we generation just the first ‘one—child’. Enjoy the benefit of policy also feel the disadvantage of it. I’m afraid of parents’ love will be divided, but the hard obligation taking care of both olds and youth falls on me all. Fewer children and young people destroy the balance of this society. China is adapting of this circumstance that end to one-child policy and allow two. 

",4.5,6,5,6,5,3.5
"In my opinion, the government should limit the number of children a family can have. China has the largest number of people in the world. In most of cities, a couple only can one child, and in most of villages, one couple only can have two children. 
Our government has huge pressure to manage so many people, so it will lead to social chaos and a lot of unfair event. Moreover, the parents can provide good education environment to their own child and pay more attention to them. It can train more talent man for the society. The Family Planning Policy is a very good policy, especially in China, because China has turned into overpopulation trend. So, it is a very important and urgent to control the China population, and the Family Planning Policy is the best way.
Too many people make our country very crowded and dirty. We don’t have enough resource to support so much people to live in a good life. We don’t have more places for people to live. China has been the country which has the largest population for a long time. Based on the number of China, launching family planning policy helps to address the crowd of people in many cities especially in Beijing, Shanghai and Guangzhou. We should take some measures like limiting the number of children a family have. Only when our population maintains in a reasonable level can our country turn round peacefully.
Last but not the least, the aged trend of population may happen sometime in the future because people may live longer than before. Therefore, family planning policy enables a reasonable control of population ratio.
",4.5,5,5.5,5.5,5.5,3.5
"  While drawing up policies, governments always make decisions base on specific national conditions. Consequently, governments in countries which have large population always adopt policies to cut down the population. China is a typical country with a large population and adopted the family planning policy. 
  Actually government has no power to decide the number of children a family can have. On the one hand, people are born to pocess their human rights while the government has the duty to protect their rights. Based on the law of reproduction in biological community, it is obvious that the intervention of human administration in specific individual fertility is against the laws of nature. On the other hand, limiting the number of children may cause disasters for the human society. Over the past few decades, China has adopted the family planning policy to limit the large population. As a result, the problem of population explosion has been alleviated while the aging problem has been even worse. It did exert an bad influence and bring in fundamentally huge problems on the long-term development. 
  Although goverment has no coerceive power to limit the number of children, they have to take the responsibilities for the benifits of whole society. As the development of economy, population explosion has been an large problem for most developing countries. There is no doubt that the population explosion is cause of shortage of resourses. To slowing the population expansion, many country adopted policies to cut down population. However, such policies can never be the fundamental methods for it do harm to human rights. It is necessary for goerments to pay attention to improve population quality and change their minds in the deep heart. Only when people have the consciousness to deliever fewer babies and contribute to society, the problems on population will be solved. 
",6,7,6,6,6.5,4.5
"If a country wishes to develop well, the government must to consider fully, considering whether this policy will benefit the sustainable development of the whole society or not. One-child policy, as a special national policy, has been in China for a long time. This unique government behavior deeply affects the country and causes controversy constantly.
Should a government be allowed to limit the number of children a family can have?
My answer is that Chinese government should carry out the policy to keep the social stability during special period by its power.
  Most of people, who are opposed the limited children, hold the view that government seriously destroys basic human rights and it is unmoral. 
I want to argue with them. They just see the short benefits rather than long term. Obviously, they ignore the danger of population explosion. If every family give birth to children without limited, the number of people will rise to an unimaginable the high. The environment we live couldn’t bear the pressure of such a large population. At the most basic level, people will not have enough food to eat, enough place to live and even not have enough water to drink. When survival can’t be guaranteed, how do we talk about national development? If you think your basic rights are more important than the survival crisis of the whole country, please stop. Every policy of government is deliberate. At the period of productivity is lagging behind, the implementation of the family planning policy has improved the quality of life for most people in the whole society. 
This is the same reason that government releases the limit of birth now. For now, the economy and goods and many things are enough to support the policy. Our country also needs fresh popularity to support national construction.
An unwise idea couldn’t lead the whole state to a long range development path. National policies should not be determined by outside influence. Sometimes, you should have overall awareness.
",6,6,6,5,6,4
"First of all, I should tell for certain, the government has a duty to limit the number of children a family can have. 
In other words, the government should carry out the population policy which including not only birth control, but also some supporting policies. Otherwise, we can see that there are some bad results of the one-child policy implemented to reduce the impact on humanity's over-consumption of resources in 1979, such as the falling birthrate, workforce shortages and aged tendency of population. So the time has come for the first big step: a switch to a two-child policy. 
I have to say a range of social problems have been resolved under government control, not only over-population, congestion, and pollution. There is no doubt that population policy have two sides.
But from the human rights point of view, no matter who has no right to disempower others to be parents. However, income, education and occupation are factors that affect people's idea of birth. Chinese traditional opinions of procreation affects society deeply. Decayed ones, for example, the attitude towards 'Bring up their children for old age' will bring heavy burden to the family and the society. The coercive powers of government will be working now. 
However, in the decision-making part, if a government will be able to work from a practical standpoint, if a government can have an insight into the society, if a government’s policy will promote social progress, these bothers me a little bit. A scientific decision should be tested over time.
",5,6,4,4,5,3
"The one child policy has been carried out for over30 years, which was put forward to solve the intense increasing population. These days a new population policy was released to adapt the latest population situation. 
Actually, the population was well-controlled during these 30 years. According to the National Bureau of Statistics, the total fertility rate in China has been slow down, which means we are facing serious baby bust. At the same time, the elderly population surges quickly. Our process goes too fast that it caused many problems. So we need flexible policy to deal with the birth of the second child.  
Now parents of the first generation of the only-children are stepping into old age. China is entering a “4-2-1 Family” era, four seniors, one couple, and one child, a perfect ""Inverted Pyramid"" model. In this bizarre “4-2-1” pattern, with parents above, and the only child below, the young generation is trapped in the middle layer, known as “the generation of sandwich”. Besides, once the seniors had an accident, the child may not be able to take care of them in time. And if the child had an accident such as Hurricane , it would be a total loss for the whole family and no one could take care of the family instead. 
In the new policy in many provinces, the couples who are both the only-child could have two children. It was a necessary amendment to reduce the heavy burdens of the family.  
One child policy was not suitable for all situations, for some special group of people, we need different flexible policy. As the new policy in Anhui and Jilin, for the couples who are both agricultural residents and their first child is a girl, they are permitted to have a second child. It can solve the problem of lacking in workforce in rural family. With poor economy and low development, they depend more on the number of labor in a family. 
",6,6,5,5,4.5,4
"From my perspective, government shouldn’t be allowed to limit the number of children a family can have. First of all, deciding to have how many children is basic human right, it’s ridiculous to ask people not to have a child. So government can’t force people not to have more than one child or something like that.
   Some people maybe worry about population explosion. In my opinion, of course, population explosion will definitely have bad influence on environment and cause lack of resources. But you can’t say not limiting the number of children a family can have will cause population explosion. Considering the huge amount of population of China and its rapid increasing speed, our government made a law about one-child limit in 90s, which was a wise decision at that time in some way. 
   However, it’s different today. Our country development is rapid, and we have already encountered aging problem mainly due to the one-child policy. Even if one-child policy doesn’t exist now, the government doesn’t need to worry about the population explosion. Because as far as I know, the notion about having children has changed. Nowadays, having many children is old school. People care much more about the quality of life, so couple will take their ability of adapting a child into consideration seriously before they decide to have a baby.
",4,5,5,5,4.5,3
"In my opinion, I think different regional governments should adopt different policies. China, for example, has a huge population of 1.3 billion. If the government does not control the number of children, every family will also increase in the number of Chinese population, this will bring a lot of problems, such as traffic jam, housing problems and shortage of resources and many other problems. Is the most important is the children's education problem, China is currently facing a shortage of education resources and distribution of the situation, if we do not limit the population, so their children to school will become a big problem, the resulting low population quality, social and moral issues. Only if the Chinese government controls the number of children per family and keeps the Chinese population stable can we reduce these problems and promote China's development. A government decision should take into account the needs of its own country, so the Chinese government should limit the number of children a family has. In Russia, however, Russia is sparsely populated, leaving the workforce in short supply. It takes a lot of human resources to build the country and promote the development of the country. So the government should encourage fertility, not limit the number of children per family. Therefore, the government should learn to adjust whether to restrict the number of children per family based on the specific circumstances of their country. Only by the practical situation can the policy be beneficial to the development of the country. So the government needs to think carefully before making a decision, whether it should control the number of children per family, so that it can promote the development of the country.",4.5,5,4.5,5,5,3.5
"   Should a government be allowed to limit the number of children a family can have? Take China as an example, our government  introduced two-children policy resent years for the sake of enlarging the population. Actually, China implemented one-child policy in the early years, since at that time, China has the largest population in the world  while the economy was too depressed to support those people to survive. The government had no way rather than limiting the number of children that a family can have to solve this problem. Up to now, the economy of China is growing at a high speed that it has never had. Therefore, our country has already have the ability to feed this nation, besides, it needs more people with talents and abilities to help it develop more steadily and fast. That’s the reason why the two-children policy came into being.
   If the government don’t limit the number of children, some poor countries like early China, may suffer from population explosion, however hard they may try to develop, their economy can be depressed forever. What’s worse, the conflicts between people will also increase. And if the government implements policies to interpose, it can be seen as an action of disrespecting the human rights, like the western countries used to comment China’s one-children policy. But the success we’ve achieved proved this policy right. As we can see, China has changed the policy to enlarge the population, limiting the population is just an expedient, it doesn’t mean that China disrespect human rights.
   Whether the government need to limit the number of children depends on the situation that one country be in now. The most important point is that the government is ought to keep the balance between respect the human rights and control the population.
                                           41508322 邵琳子
",6,6,6,7,6,4
"A GOVERNMENT SHOULD NOT BE ALLOWED TO LIMIT THE NUMBER OF CHILDREN A FAMILY CAN HAVE
China has been a great country with the largest population around the world. The number of residents on the earth has been more than 60 billion. The earth has been faced with severe danger of population explosion. So as to solve the population problem, our government had decided to implemented one-child policy. However, when it was carried out for many years, various problems and shortcomings has been exposed to people’s sight. Thus, the policy of the second-child emerged as the times require. Whether a government should be allowed to limit the number of children a family can have or not？In my view, the answer is not.
Apparently, it’s a basic human right that one couple can decide whether to born children and how many children they will have. The only-child may grow up alone without any other sibling accompany. It may shaper an indifferent and selfish figure. It’s not good to a harmonious society construction. And also there will be more and more dink, and then our country will lack of labor forces. However, the second-child policy may force the career women return to family. The anxiety of women career crisis has appeared nowadays, which shows that it is more difficult for women to get a job compared with men. Because employers consider that the pregnancy will take much time. Therefore, it’s salient the feminist will have such worry when they will spend double time in giving birth of two kids. Besides, the second-child policy is a kind of contempt on equality, since the policy may treat women as reproduction machine.
In my perspective, the government should not limit the number of children a family can have. It’s more important to make people aware of the danger of population explosion rather than enact any insignificance policy.
",5,6,6,7,6,4
"I think the government has the right to introduce the national and social longterm development of population policy, family planning is just one example .As everyone knows, the world's population problem is very serious.   
Government promulgated the correctness of the family planning policy obviously in China.            
Overpopulation brings a series of social problems, such as the injustice of education, healthy and employmental difficulties ,crime and so on.Poverty in some countries and regions like Africa., the population growth rate is far higher than the rate of economic growth. People living there suffering from disease and war problems. They have no money, no food, and even may lose their lives. The government can not remedy all national. 
Ahough each life is equal, we have no right to deprive any person came to this world right. However, the large population will only lower the quality of life of each person.
In addition to subsistence， the right to development is also very important. Too many people can easily lead to the right to development cannot be guaranteed. In developed countries, people are knowledgeable and friendly. Rich countries are not the most populous. On the contrary, people are not willing to procreate.
    over the past thirty years, the population of Chin a is under control. The quality of our life has been a huge improvement.
   Every family’s pressure decreases. Our resources are protected. Our environment is becoming better and better. Therefore, I think, when necessary, the government has the right to limit fertility. Only in this way our life will be better.
",4,5,5,5,5,3
"  Should a government be allowed to limit the number of children a family can have? I don’t have an exact answer for this question, either “yes” or “no” is not a simple affair. Maybe it depends on a country’s actual condition, including related policies and resources. Based on human rights, if a mother has been pregnant for a second time, she should give her baby right to see this world even if the country she lived is a poor and muddled place. And then the related policies in this country are crucial. If the policy won’t allow a second child to appear, the family should do some preventive measure to obey related laws. Based on the danger of population explosion, it depends on countries’ resources. In fact, it is not every country facing the danger of population explosion, but too many countries’ danger cause our world’s danger. But if resources in this country were enough, mothers can have one more kid. Should a government be allowed to limit the number of children a family can have? This question covers emotion and law. And I can’t give an exact question.",5,6,4.5,5.5,5,3.5
"                         The One Child Policy in China
This passage is to talk about the One Child Policy in China. The Chinese government made this policy and apply it in the 1970th, which caused lots of sad stories and directly leads to the arrival of aging society. And it is regarded as a huge mistake by some people nowadays.
Should a government be allowed to limit the number of children a family can have? Of course not. The power of the government is given by people. And every single family has the right to have children as long as they can afford it and the government doesn’t have the right to make it illegal. Limiting the number of children a family can have is against the nature of human.
Considering the danger of population explosion that could threaten the stabilization of the society at that time, it’s, to some degree, reasonable to carry out that policy. But the government failed to foresee the coming of aging society, because they ignored the laws of population growth and didn’t realize that the decrease of birth rating is not reversible. Now they have to be faced with the much more tough situation——lack of labor force. 
What’s more, the population explosion could have been dealt with in a more gentle way. As the quality of life gets better and better with the domestic economic growth, it takes more and more to raise a child. The high cost of raising children will be taken into consideration when a family is thinking about having children, and they will limit the number of children they have by themselves, from personal perspective.
Therefore, the government shouldn’t be allowed to limit the number of children a family can have and they actually don’t need to.
",4.5,6,5,7,5,4
"Should a government be allowed to limit the number of children a family can have? In the eyes of people from Western countries, this question seems ridiculous. However, it’s a serious issue.
As we know, China has a huge number of population. To prevent population explosion and its possible danger, Chinese government put the family planning program and the “one child policy” into action in the 1980s. It did arise arguments. Some firmly believed that the policy was inhuman, and it destroyed the basic rights of people, while others thought that the policy could not just prevent population explosion but also guarantee the quality and health of the born babies. Till now, there are still different arguments about it.
As time goes by, the policy do take effect. But the facts didn’t prove it right. The program influence too many people, and experts believe that now China is facing aging society. So the governments then put “two children policy” to make sure that the country is still active. Another debates come, and it’s not just the problem of human rights, but the issue of all different fields. It can’t be discussed on the paper but in action. 
In a word, time will show us whether the policy is right. We are looking forward to it.
",4,4.5,4.5,5,3.5,3
"Rights are not privileges
  As one of the basic policies of our country, the family planning has played an irreplaceable role since 2002. But these years, its requirements had been loosen, for one couple can have two children. It doesn’t mean the number of children in a family is totally unrestricted. On the contrary, it can be more effective in controlling the size and raising the general quality of the population, because some children grow up with brothers or sisters’ company.
  Therefore, I think the government should still be allowed to limit the number of children a family can have. Only in this way can a country runs steadily and prosperously.
  In consideration of basic human rights, a family can decide the number of children they want to have. If some parents want more love and care when they get older, and they have enough money and time to bring the kids up, they may give birth to several children. To some extent, if the family have the confidence, condition and ability to provide a favorable growth environment to their children, just like some star families, why don’t they have more children?
  On the other hand, too many people will do harm to our environment. Children will grow up to adults, and grow older to the aged eventually. The number of the aged will increase sharply. At the same time, with the development of economy and technology, more and more people do not like to raise children. Then the number of the young is much less than that of the old. At that day, the problem of aged tendency of population will make it difficult to support the social. What’s more, it becomes harder for young people to find a job, which is bad for the distribution of resources.
  In conclusion, rights are not privileges. Each of us shouldn’t damage the interests of the state just to enjoy ourselves. Thus, the number of children in a family should be limited to assure the normal development of a country.

",5,5,6,6,5,4
"Chinese goverment have been implemented the policy of family planning since 1970s. But I dont think it is reasonable to limit the number of children a family can have. 
First of all, it is a fundamental right for a person, even not a citizen, to choose weather to have children and how many children would like to have. Reproduction is one of the basic demand of not only human but all living things. And as intelligent creature, we should have the right to consider how many kids is appropriate and make a decision. The govermemt obliged to lead, but not prohibit.
As for reducing the danger of population explosion, it is also not a good method to limit the number of children. What can this policy do is just control the population temporarily, but from a long-term perspective, it generate a fault. More pressure has been given to young people who have no brothers or sisters, for supporting grandparents, parents and now, maybe two kids. Although the government have two-kid policy now, the economic difficulties are still obstacles to have second kids. It is just a vicious circle. 
In fact, although the family planning policy have been implemented for decades, many families in countryside or rich and powerful still have extra children. It is not executive and not equal, the root is the irrationality. So the government should find more sustainable way to solve the population issue.
",4,5,5,5,5,3
"In the past few decades, the government didn’t limit the number of children a family could have. And the result was that the population of human increased a lot which caused serious aging of population. But in my view, I think the government shouldn’t limit the number of children a family can have.
On the one hand, every life deserves respect. We don’t have the rights to kill others even it's a little baby.
On the other hand, many parents love little baby and a new life can give the family new hope: in the poor age, many family choose to have several kids and now the fanatical burden is free, so that they have enough reasons to have several kids.
There must be someone says that the population explosion has a large amount of danger. Such as it could make the earth too hard to support so many people and the live ground couldn’t support so many people to live in at the same time. The social welfare security mechanism may occur lots of bugs.
But from a realistic point of view, with the developing of construction technology, the buildings height can be taller and taller with provides the basic of living. With the genetic engineering, we can grow more food on smaller land. And the economic progress make it possible to establish a sound social security system.
So in a world, the government shouldn’t limit the number of children a family can have.

",4,4,5,6,5,3
"Whether the government should limit the number of children one family have
  I don’t think the government should limit the number of children one family have.For one reason the percent of old people is increasing and it’s not a good sign for Chinese future because the teenager and adolescent are the hope of future.For another reason if one family only has one child and after growing up the new family which has two young people and they have to afford the burden of their four parents.
  And if the government allow family to have more than one child,maybe some family will choose to bring up one child but I believe the most family will bring up more than one child.Considering the problems I have listed,eliminate the restrict of the number of children of family have can reduce the percent of old people which means that our country will have more labor force and will appear more talented people and professional people.When one family have more children,the burden of bringing up elder parents will be divided into severl parts on every child instead of pressing the only one child.
  Also the large population is also a important problem,the resource shortage、traffic jam、environmental problem、the starvation and many problems results from overpopulation are a stress oppressing us.But I hold the view that the restrict of the number of borning child of every family is not a good way to solve the problem of population increasing.The basic solution is to change people’s mind about population problem and assisting with policy.This problem can’t easily use the simple way but change it gradually and it needs a long time to relieve and finally solve it.It’s a long time project and we can not change it in a hurry.
",4.5,6,5,5,5.5,4
"Is it right to set a limitation on the number of children a family could have? In China, people were asked not to have more than one child in one family many years ago. Although today the government encourages families to have two children, the limitation is still there. Some criticize that the policy is against human rights and should stop. While in my opinion, there are several reasons that can back up the policy.
First off, when it comes to basic human rights, the limitation doesn’t completely prohibit families to have more children. As long as the parents have enough money as their compensation fee, they can have a third child. The fee serves as a prove of the parents’ ability to afford their children. On the other hand, if the family doesn’t have the money, which means they can’t raise their children well, the limitation prevents them from abandoning children. So the policy is not against basic human rights. It is protecting those poor children who might be abandoned because of poverty.
Secondly, the limitation policy is a solution to population explosion. Population explosion is a national issue for developing countries. The danger of it includes low employment rate, lack of resource, and environmental problems. Apparently if the country wants to avoid the dangers, lowering the birth rate will be fundamental. Otherwise, the explosion of population will do harm to the country’s economy instead of increasing it. The limitation policy has done well on the population crisis.    
Last but not the least, the policy can enrich family happiness. The less children a family has, the more care a child will receive from the parents. The possible cost on children’s education can be saved so that the family can increase their living quality. This is one of the advantages of having one or two children.  
In conclusion, the government should do something harsh to limit the family children number. It is not only because of the effectiveness on the population explosion, but also because it benefits ordinary families.
",6,6.5,7,6.5,6.5,4.5
"As the rapidly development of the technology and society, more and more people can live a longer life. It sounds like a nice thing, but naturally, every coin has two sides, the serious situation it brings is that the rise in population far outstripped the production of food. So that, although so many people can live a longer life, not each person can live a better life.
  According to this problem, government carried out a policy that only both parent is the Only child can have two children, besides, they only can have one child. 
As it was shown in a chart of population analysis, the implementation of the policy is very effective, low birth rate and low  natural growth rate. 
But should a government be allowed to limit the number of children a family can have like that?
In one hand, in terms of the national development, it seems a smart choice. More people means need more land and more resources. In 1980’s we didn’t have enough resources, so the only thing we could do was limit the population.
But on the other hand, in terms of human rights, it seems a bit bloodiness. How many children the family has should be depended on that family, not the other people. it seems so strange that another person forces the family that you only can have one child, so is government. Moreover, if that family really love children or that family need more children to make money, and so on, it all will bring pressures on the only child.
Anyhow, the policy is implemented a long time. In my perspective, although that policy seems a little bloodiness, it was the product of that period, we need to understand.
",6,6,7,7,6,4.5
"Should a government be allowed to limit the number of children a family can have?
 To be honest, nobody has rights to limit the number of the children of a family which has done nothing wrong. However, in order to improve the development of our country, the government has to promulgate this policy. 
So, what are the advantages and disadvantages of the children-limit on earth? 
As we all know, the population of China has been an extraordinarily large. Limiting the number of the children of every family is the most effective way to control the fast-growing population. After the reform and opening, the large population obviously became the biggest resistance of China’s prosperity and steady development. Maybe for the poor families then, more children means more labors and more possibility to earn more money. However, the reality is that only the prosperity of our country can lead to everyone’s peace and richness. On the other hand, if the population explosion happens, there will be more and more people have no food to eat to keep alive. Though the measure of our country’s area is big, it can not provide food for so many people. China will run for food every day and have no time to care about the financial development.    And at that time, China will be fat for any other country. Peace and happiness will leave from us. Besides, too many people will also lead to less positions provided for people. There will be more and more people have no job and no ways to earn money.
In a word, though this policy limited the people’s rights, it really help China to be a stronger country and help us to be richer and happier. 
",5,5.5,6,6,5.5,4
"To be honest, I don’t think that the government should be able to limit the number of children a family can have. First of all, more children are the gifts for some only child. For some families, maybe the parents are only child and they also can have only child. when their child grows up and they grow older, their child marries with an only child girl accidentally, the burden on their child and his wife is definitely heavy. What’s more, when they have children, their burden will be heavier. Their child and his wife have to take care of two old couples and a baby. Usually, a young couple looking after an old couple is difficult; if the pressure increasing twice, how can they stand it? however if their parents have two children, they can share the burden of taking care of their parents. It would be much better. And two-child policy can guarantee the number of Chinese population. As the widely spread of one-child policy, some people have changed their conception about giving birth. If they firmly believe one-child policy, there will be more and more the Drinkwater several decades, our country will famous for lack of population.
As a result, our government shouldn’t limit number of children a family can have.
",5,5,4,5,5,3
"Whether give birth to a baby is a basic right of human. But does it mean we should tolerant sharp increasing birth rate despite the heavy resources burden? Negative. 
 If we see this from the aspect of a citizen, it will never be a question how many children I should have at most. In fact I can keep having baby if I want, because I like the feeling of surrounded by children. But why I will never do as what I think under some circumstances such as if I lived in China or India? Because in some country, there is a huge population burden for all resources. Even if there is no such a kind of policy to restrict the number of children a couple can have, I would not be willing to add more pressure to the server environment and society comdition.
So back to the restriction policy, all population control policy is based on the curren situation of a country. If there is an explosion of population, several years later, they will have to face higher living price, harder employment situation and more fierce competition. And the country will have to bear serious result brought by growing population such as electricity shortage, increasing pollution and high natural resources consuming. So if a country needs to develop healthily, it has to control the number of children a family can have.
There used to be a slogan in the beginning of propagating the One Child Policy, it said” If you want to become rich, give birth to less children and plant more trees” For most uneducated habitant, they don`t comprehend the meaning of population control, so it is with their children. The increasing population also brings difficulty to education, which also do harm to the development of country.
So if population is a problem to a country, it has to be put into policy for the further development.
",5,6,5,5,7,4
